aut_item,condition,response,target,response_id
tire,h,spin something,2.5,human_seed0
tire,h,chip it up and use for the floor of a playground,2.7,human_seed1
tire,h,wheelbarrow,2.0,human_seed2
tire,h,game,2.5,human_seed3
tire,h,exercising tool,2.8,human_seed4
tire,h,"use for an obstacle course, exercise",2.7,human_seed5
tire,f_l,bumper for a dock or side of a boat,2.8,human_seed6
tire,f_l,bounce on it,2.8,human_seed7
tire,f_l,kids play area,2.7,human_seed8
tire,f_l,ride in,1.8,human_seed9
tire,f_u,bounce,2.8,human_seed10
tire,f_u,obstacle course,2.8,human_seed11
tire,f_u,flip for exercising,2.8,human_seed12
tire,f_u,decorate,2.8,human_seed13
tire,m_l,agility drills,2.8,human_seed14
tire,m_l,recycling,1.7,human_seed15
tire,m_u,as a play toy,2.3,human_seed16
tire,m_u,play ground,2.2,human_seed17
pants,h,cut and turn into shorts,2.3,human_seed18
pants,h,fly,2.2,human_seed19
pants,h,stuffed with other clothes,2.8,human_seed20
pants,h,something to light a fire with,2.5,human_seed21
pants,h,use them as a makeshift rope to tie something up,2.8,human_seed22
pants,h,stuff for a scarecrow,2.3,human_seed23
pants,f_l,decorate the legs,2.0,human_seed24
pants,f_l,wash them,1.8,human_seed25
pants,f_l,to make rags from when old,2.2,human_seed26
pants,f_l,protection,1.7,human_seed27
pants,f_u,bandages,2.5,human_seed28
pants,f_u,make scarecrow outfit,2.2,human_seed29
pants,f_u,motivation,2.2,human_seed30
pants,f_u,paint in them to protect clean pants,2.0,human_seed31
pants,m_l,climb,2.0,human_seed32
pants,m_l,to use as a pattern to sew more pants,2.5,human_seed33
pants,m_u,dust rag,2.2,human_seed34
pants,m_u,bandana,2.7,human_seed35
shoe,h,throwing weapon,2.8,human_seed36
shoe,h,donate,1.7,human_seed37
shoe,h,warning,2.2,human_seed38
shoe,h,hit something,2.7,human_seed39
shoe,h,draw on it,2.5,human_seed40
shoe,h,paint for decoration,2.8,human_seed41
shoe,f_l,draw large letters on sandy beach,2.7,human_seed42
shoe,f_l,as a doorstopper,2.7,human_seed43
shoe,f_l,put different shoe on,1.9,human_seed44
shoe,f_l,throwing at something,2.2,human_seed45
shoe,f_u,hang over power line,2.2,human_seed46
shoe,f_u,tie around power lines,2.2,human_seed47
shoe,f_u,projectile,2.7,human_seed48
shoe,f_u,place on a shelf,2.3,human_seed49
shoe,m_l,slap someone,2.7,human_seed50
shoe,m_l,to throw at someone,2.5,human_seed51
shoe,m_u,dog toy,2.8,human_seed52
shoe,m_u,A shoe could be a container for anything that can fit in it.,2.3,human_seed53
table,h,a stool,2.0,human_seed54
table,h,paint on,2.5,human_seed55
table,h,bench,2.5,human_seed56
table,h,it can be used as a sitting chair,2.5,human_seed57
table,h,to keep books,2.3,human_seed58
table,h,as a workout board,2.8,human_seed59
table,f_l,building,2.5,human_seed60
table,f_l,reach lightbulb,2.8,human_seed61
table,f_l,to sell for money,2.5,human_seed62
table,f_l,for painting,2.5,human_seed63
table,f_u,used for arranging books,2.2,human_seed64
table,f_u,to put a lamp,1.8,human_seed65
table,f_u,folding laundry,2.0,human_seed66
table,f_u,tv tray,1.8,human_seed67
table,m_l,operation,2.3,human_seed68
table,m_l,as a present,2.5,human_seed69
table,m_u,puzzle board,2.0,human_seed70
table,m_u,use the table top as a art piece,2.7,human_seed71
bottle,h,you could bottle flip the bottle.,2.1,human_seed72
bottle,h,water plants,2.5,human_seed73
bottle,h,mouthwash container,1.8,human_seed74
bottle,h,flipping it into the trash,1.9,human_seed75
bottle,h,put in cabinet as decoration,2.5,human_seed76
bottle,h,science experiment,2.8,human_seed77
bottle,f_l,window,2.5,human_seed78
bottle,f_l,spit cup,2.7,human_seed79
bottle,f_l,breath it,2.4,human_seed80
bottle,f_l,contain salt/pepper,2.3,human_seed81
bottle,f_u,put dish washing liquid on it,1.8,human_seed82
bottle,f_u,you can craft stuff with it,2.4,human_seed83
bottle,f_u,spitoon,2.3,human_seed84
bottle,f_u,to put holes in it,2.4,human_seed85
bottle,m_l,cut it in half,1.9,human_seed86
bottle,m_l,a drawing pad!,2.7,human_seed87
bottle,m_u,artwork,2.7,human_seed88
bottle,m_u,use it as a club,2.5,human_seed89
